date,match_time,team_1,team_1_score,team_2,team_2_score,live_status,event_name,event_series
05/19/2023,09:30,GodLike Esports,–,True Rippers,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/19/2023,12:00,KOI,–,Team Liquid,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/19/2023,15:00,BBL Esports,–,FUT Esports,–,Upcoming,Champions Tour 2023: EMEA League,Regular Season–Week 8
05/20/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Semifinals
05/20/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Lower Final
05/20/2023,06:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Semifinals
05/20/2023,10:30,Fire Flux Esports,–,Galatasaray Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/20/2023,10:30,Aster Army,–,GodLike Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/20/2023,11:00,Acend,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,12:00,TBD,–,Rapid Ninjas,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,12:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Lower Final
05/20/2023,13:00,GONext Esports,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,13:30,Galakticos,–,Digital Athletics,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/20/2023,14:00,Enterprise Esports,–,Anonymo Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/20/2023,15:00,NOM Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 17
05/21/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 1
05/21/2023,05:00,TBD,–,TBD,–,Upcoming,FGC VALORANT Invitational 2023: Act 2,Playoffs–Grand Final
05/21/2023,06:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 1
05/21/2023,10:30,Thunderbolts Gaming,–,Papara SuperMassive,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/21/2023,10:30,Revenant Esports,–,Reckoning Esports,–,Upcoming,Challengers League South Asia: Split 2,League Stage–Week 4
05/21/2023,11:00,GONext Esports,–,Anonymo Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,11:00,AYM Esports,–,KPI Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,12:00,NOM Esports,–,B8 Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,12:00,TBD,–,TBD,–,Upcoming,Game Changers 2023 Series I: EMEA,Playoffs–Grand Final
05/21/2023,12:00,Falcons,–,ZETA Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,13:00,Enterprise Esports,–,Zero Tenacity,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,13:00,Ramboot Club,–,Rebels Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,13:30,Fenerbahçe Esports,–,İstanbul Wildcats,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/21/2023,14:00,Acend,–,TBD,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,14:00,UCAM Tokiers,–,Team Queso,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/21/2023,15:00,Rapid Ninjas,–,Diamant Esports,–,Upcoming,Challengers League East Surge: Split 2,Regular Season–Round 18
05/21/2023,15:00,Movistar Riders,–,Case Esports,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 17
05/22/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Upper Final
05/22/2023,06:30,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Round 2
05/22/2023,10:30,Digital Athletics,–,Galatasaray Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/22/2023,11:00,AYM Esports,–,Movistar Riders,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,12:00,Akroma,–,Zerance,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,12:00,Case Esports,–,Rebels Gaming,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,13:00,Mandatory,–,Gentle Mates,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,13:00,Team Queso,–,Falcons,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,13:30,Thunderbolts Gaming,–,S2G Esports,–,Upcoming,Challengers League Turkey Birlik: Split 2,Group Stage–Week 7
05/22/2023,14:00,BLX UTD,–,3DMAX,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,14:00,KPI Gaming,–,Ramboot Club,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,15:00,WYLDE,–,VALIANT,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/22/2023,15:00,ZETA Gaming,–,UCAM Tokiers,–,Upcoming,Challengers League Spain Rising: Split 2,Regular Season–Round 18
05/22/2023,16:00,Solary,–,Joblife,–,Upcoming,Challengers League France Revolution: Split 2,Regular Season–Week 7
05/23/2023,03:00,Alter Ego,–,ARF TEAM,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/23/2023,06:00,BOOM Esports,–,Bigetron Arctic,–,Upcoming,Challengers League Indonesia: Split 2,Final Qualifier–Round 7
05/24/2023,01:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Round 1
05/24/2023,01:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Round 1
05/24/2023,04:00,GameLab Alpha,–,ZOL Esports,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Round 1
05/24/2023,07:00,Action PH,–,MVP Esports,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Round 1
05/25/2023,03:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Upper Final
05/25/2023,04:00,Oasis Gaming,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Semifinals
05/25/2023,06:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Round 2
05/25/2023,07:00,NAOS,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Semifinals
05/26/2023,03:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Lower Final
05/26/2023,04:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Round 1
05/26/2023,07:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Round 1
05/27/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Lower Final
05/28/2023,04:00,TBD,–,TBD,–,Upcoming,Champions Tour 2023: Pacific League,Playoffs–Grand Final
06/02/2023,04:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Upper Final
06/02/2023,07:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Round 2
06/03/2023,00:30,SCARZ,–,FENNEL,–,Upcoming,Challengers League Japan: Split 2,Playoffs–Lower Final
06/03/2023,03:00,TBD,–,TBD,–,Upcoming,World Cyber Games Challengers League Korea: Split 2,Playoffs–Grand Final
06/03/2023,04:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Lower Final
06/04/2023,00:30,Jadeite,–,TBD,–,Upcoming,Challengers League Japan: Split 2,Playoffs–Grand Final
06/04/2023,04:00,TBD,–,TBD,–,Upcoming,Challengers League Philippines: Split 2,Playoffs–Grand Final
